cid,mw_pc,smiles,connectivitysmiles,iupac,logp_pc
31245,100.16,CCCC(C)C=O,CCCC(C)C=O,2-methylpentanal,1.7
31246,114.19,CCCC(=O)CCC,CCCC(=O)CCC,heptan-4-one,1.6
31261,100.12,CC(=O)CC(=O)C,CC(=O)CC(=O)C,"pentane-2,4-dione",0.4
31353,258.35,CC(=CCCC(C)(C=C)OC(=O)C1=CC=CC=C1)C,CC(=CCCC(C)(C=C)OC(=O)C1=CC=CC=C1)C,"3,7-dimethylocta-1,6-dien-3-yl benzoate",5.0
34072,114.19,CC(C)CC(C)C=O,CC(C)CC(C)C=O,"2,4-dimethylpentanal",1.9
60965,61.08,CC=O.N,CC=O.N,acetaldehyde;azane,
60983,128.17,CCCCC(=O)C(=O)C,CCCCC(=O)C(=O)C,"heptane-2,3-dione",1.0
60990,148.20,CC1=CC=C(C=C1)C(C)C=O,CC1=CC=C(C=C1)C(C)C=O,2-(4-methylphenyl)propanal,2.3
60998,192.25,CC(C)COC(=O)CC1=CC=CC=C1,CC(C)COC(=O)CC1=CC=CC=C1,2-methylpropyl 2-phenylacetate,3.2
61010,164.20,C1=CC=C(C=C1)CCCOC=O,C1=CC=C(C=C1)CCCOC=O,3-phenylpropyl formate,2.9
61048,178.23,CC(C)COC(=O)C1=CC=CC=C1,CC(C)COC(=O)C1=CC=CC=C1,2-methylpropyl benzoate,3.6
61050,248.36,CCCCCCCCOC(=O)CC1=CC=CC=C1,CCCCCCCCOC(=O)CC1=CC=CC=C1,octyl 2-phenylacetate,5.3
61052,192.25,CCC(=O)OCCCC1=CC=CC=C1,CCC(=O)OCCCC1=CC=CC=C1,3-phenylpropyl propanoate,3.0
61384,220.31,CCCCCC(=O)OCCC1=CC=CC=C1,CCCCCC(=O)OCCC1=CC=CC=C1,2-phenylethyl hexanoate,4.2
61452,192.25,CCOC(=O)CCCC1=CC=CC=C1,CCOC(=O)CCCC1=CC=CC=C1,ethyl 4-phenylbutanoate,3.1
