rank,cid,smi_rdkit,inchikey,iupac,mw,logp,tpsa,n_hbd,n_hba,n_rotb,n_rings,n_aldehyde,n_ketone,n_electrophile,n_carbonyl,n_fluorine,n_alpha_h,qed,priority,category
114,154514858,O=CC(=O)C(F)F,LFQGGLARHKGBKC-UHFFFAOYSA-N,"3,3-difluoro-2-oxopropanal",108.043,0.01949999999999985,34.14,0,2,2,0,2,1,2,2,2,0,0.36880115919778284,0.44380115919778285,Fluoro-dialdehyde
115,151611698,CC(F)C(=O)C=O,QMQDDGMUFCFMBO-UHFFFAOYSA-N,3-fluoro-2-oxobutanal,104.08,0.11239999999999994,34.14,0,2,2,0,2,1,2,2,1,0,0.36784219466981216,0.4428421946698122,Fluoro-dialdehyde
116,12039955,CC(=O)C(F)C=O,QNOFTPXCBZCDSX-UHFFFAOYSA-N,2-fluoro-3-oxobutanal,104.08,0.11239999999999994,34.14,0,2,2,0,2,3,2,2,1,0,0.36784219466981216,0.4428421946698122,Fluoro-dialdehyde
117,134344729,O=CCC(=O)OF,FUOQFWJXQNIVFG-UHFFFAOYSA-N,fluoro 3-oxopropanoate,106.05199999999999,0.0030999999999999917,43.370000000000005,0,3,2,0,2,2,2,2,1,1,0.3673696684919029,0.4423696684919029,Fluoro-dialdehyde
118,172212052,O.O=CC(=O)C(F)(F)F,SQLNLZXQJWXCPB-UHFFFAOYSA-N,"3,3,3-trifluoro-2-oxopropanal;hydrate",144.048,-0.5080000000000001,65.64,0,2,1,0,2,1,2,2,3,0,0.3671703516317617,0.4421703516317617,Fluoro-dialdehyde
119,145802,O=CC(=O)C1CC1,PHGZFKPNFFEOIR-UHFFFAOYSA-N,2-cyclopropyl-2-oxoacetaldehyde,98.10099999999998,0.1644,34.14,0,2,2,1,2,1,2,2,0,0,0.3640269868397684,0.43902698683976843,Dialdehyde (cyclic)
120,22033763,O=CC1(C=O)CC1,LLYSBMNJRGHFBT-UHFFFAOYSA-N,"cyclopropane-1,1-dicarbaldehyde",98.10099999999998,0.1644,34.14,0,2,2,1,2,2,2,2,0,0,0.3640269868397684,0.43902698683976843,Dialdehyde (cyclic)
121,12524,O=CCCC=O,PCSMJKASWLYICJ-UHFFFAOYSA-N,butanedial,86.08999999999999,0.1644,34.14,0,2,3,0,2,2,2,2,0,2,0.3620014734523953,0.4370014734523953,Dialdehyde (aliphatic)
122,21841610,O=CC=O.O=CCC=O,BHDYEBDPUDGIGM-UHFFFAOYSA-N,oxaldehyde;propanedial,130.099,-0.8415000000000001,68.28,0,4,3,0,4,2,4,4,0,2,0.2835053744212072,0.4335053744212072,Dialdehyde (aliphatic)
123,145744,CCC(=O)C=O,RWHQMRRVZJSKGX-UHFFFAOYSA-N,2-oxobutanal,86.08999999999999,0.1644,34.14,0,2,2,0,2,1,2,2,0,0,0.3541944918606196,0.4291944918606196,Dialdehyde (aliphatic)
124,4686860,CC(=O)CC=O,PKQIDSVLSKFZQC-UHFFFAOYSA-N,3-oxobutanal,86.08999999999999,0.1644,34.14,0,2,2,0,2,3,2,2,0,1,0.3541944918606196,0.4291944918606196,Dialdehyde (aliphatic)
125,21301831,COC(C=O)C=O,JBDLAPGGRNEDKV-UHFFFAOYSA-N,2-methoxypropanedial,102.089,-0.6008,43.370000000000005,0,3,3,0,2,2,2,2,0,0,0.3527264543561535,0.42772645435615353,Dialdehyde (aliphatic)
126,9548601,O=CCCCC(=O)[O-],VBKPPDYGFUZOAJ-UHFFFAOYSA-M,5-oxopentanoate,115.10799999999999,-0.8945000000000001,57.2,0,3,4,0,2,2,2,2,0,1,0.35234596963020187,0.4273459696302019,Dialdehyde (aliphatic)
127,98735,CC(C=O)C=O,VXYSFSCCSQAYJV-UHFFFAOYSA-N,2-methylpropanedial,86.08999999999999,0.020299999999999985,34.14,0,2,2,0,2,2,2,2,0,0,0.3504347409530757,0.4254347409530757,Dialdehyde (aliphatic)
128,20591840,O=CC(=O)CC(=O)C=O,KUJUZIXUQKRHJJ-UHFFFAOYSA-N,"2,4-dioxopentanedial",128.083,-1.0875000000000001,68.28,0,4,4,0,4,2,4,4,0,0,0.27391284975605185,0.4239128497560518,Dialdehyde (aliphatic)
129,54041244,O=CC(=O)OCl,VBZNVGMIWAGXNM-UHFFFAOYSA-N,chloro 2-oxoacetate,108.48,-0.11770000000000014,43.370000000000005,0,3,1,0,2,0,2,2,0,0,0.34754546578937695,0.42254546578937696,Dialdehyde (aliphatic)
130,196091,O=CC(=O)CF,IOVSXLWBCYTLNG-UHFFFAOYSA-N,3-fluoro-2-oxopropanal,90.05300000000001,-0.2761000000000001,34.14,0,2,2,0,2,1,2,2,1,0,0.3450426035369107,0.4200426035369107,Fluoro-dialdehyde
131,20303527,O=CC(F)C=O,RWXXZBHAXXHXLC-UHFFFAOYSA-N,2-fluoropropanedial,90.05300000000001,-0.27769999999999995,34.14,0,2,2,0,2,2,2,2,1,0,0.3449943860285568,0.4199943860285568,Fluoro-dialdehyde
132,88146072,CC(=O)O.O=CCCCC=O,RRABLUFVOFJQMU-UHFFFAOYSA-N,acetic acid;pentanedial,160.16899999999998,0.6454,71.44,1,3,4,0,3,3,3,3,0,2,0.4836753116533512,0.41732271815734584,Dialdehyde (aliphatic)
133,22011564,O=CC=O.O=CC=O.O=CC=O,XNGNMEKJNFIWRE-UHFFFAOYSA-N,oxaldehyde,174.10799999999998,-1.8474,102.41999999999999,0,6,3,0,6,0,6,6,0,0,0.3673356756424501,0.414634972949715,Dialdehyde (aliphatic)
134,21280128,N.O=CC=O,ZORDNAGNRIJNSH-UHFFFAOYSA-N,azane;oxaldehyde,75.06700000000001,-0.45380000000000015,69.14,1,3,1,0,2,0,2,2,0,0,0.33859479189158126,0.41359479189158127,Dialdehyde (aliphatic)
